Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Fujiya - China Town,restaurant,"Via Cassa di Risparmio - Sparkassenstraße, 20a, 39100, Bolzano - Bozen",46.498770,11.348972,,29
Drinking_water,drinking_water,Adresse unbekannt,46.496690,11.347754,,212
Caffè Gelateria Eisberg,cafe,"Via Firenze - Florenzstraße, 13, 39100, Bolzano - Bozen",46.493056,11.343132,,183
Drinking_water,drinking_water,Adresse unbekannt,46.498800,11.347385,,15
Premiere Bio pasticceria e pane,bakery,Adresse unbekannt,46.493721,11.343136,,109
DOCTOR BIKE,bicycle,Adresse unbekannt,46.494465,11.343235,,26
Maradona,restaurant,Adresse unbekannt,46.495449,11.345676,,81
Zio Alfonso,restaurant,"Viale Druso - Drususallee, 50, 39100, Bolzano - Bozen",46.495453,11.335645,,17
Eurospar,supermarket,Adresse unbekannt,46.493296,11.340098,,189
Pizzeria Al Cantuccio,restaurant,"Via della Visitazione - Mariaheimweg, 4e, 39100, Bolzano - Bozen",46.496226,11.337387,,112
Marechiaro,restaurant,Adresse unbekannt,46.493982,11.341536,,91
La stazione della bicicletta,bicycle,"Via della Visitazione - Mariaheimweg, 16b, 39100, Bolzano - Bozen",46.495721,11.336067,,46
Diamound's,restaurant,"Via della Visitazione - Mariaheimweg, 4/g, 39100, Bolzano - Bozen",46.496346,11.337624,,128
Togiva,cafe,Adresse unbekannt,46.492972,11.341286,,205
Susaki,restaurant,"Via Roma - Romstraße, 2a, 39100, Bolzano - Bozen",46.494670,11.340165,,36
Cafe,cafe,"Via Michael Gaismair - Michael-Gaismair-Straße, 23, 39100, Bolzano - Bozen",46.496175,11.335941,,97
Cafe,cafe,"Via Michael Gaismair - Michael-Gaismair-Straße, 25, 39100, Bolzano - Bozen",46.496076,11.335990,,86
Gioia Cafe,cafe,"Via Roen - Roenstraße, 11, 39100, Bolzano - Bozen",46.497824,11.337339,,288
La Lanterna,restaurant,"Via Rovigo - Rovigostraße, 14, 39100, Bolzano - Bozen",46.494579,11.335793,,79
Buga Ramen,restaurant,"Viale Druso - Drususallee, 91, 39100, Bolzano - Bozen",46.495129,11.335847,,18
Cafe,cafe,Adresse unbekannt,46.497671,11.340268,,296
Cafe,cafe,Adresse unbekannt,46.496196,11.340334,,133
Drinking_water,drinking_water,Adresse unbekannt,46.495372,11.339875,,38
Drinking_water,drinking_water,Adresse unbekannt,46.497798,11.339242,,299
Drinking_water,drinking_water,Adresse unbekannt,46.496527,11.340511,,172
Pizzeria da Gigi,restaurant,Adresse unbekannt,46.493778,11.341348,,115
Cafè Petit Château,cafe,Adresse unbekannt,46.496816,11.339903,,198
Drinking_water,drinking_water,Adresse unbekannt,46.492631,11.318308,,189
Drinking_water,drinking_water,Adresse unbekannt,46.492395,11.317396,,209
Drinking_water,drinking_water,Adresse unbekannt,46.492492,11.311561,,138
Poli,supermarket,Adresse unbekannt,46.491590,11.314803,,265
Pizzeria Metro',restaurant,"Viale Druso - Drususallee, 339, 39100",46.494181,11.318630,,19
Pizzeria Lo Zodiaco,restaurant,Adresse unbekannt,46.494318,11.310322,,78
Drinking_water,drinking_water,Adresse unbekannt,46.492661,11.317345,,179
Futuro Bio,supermarket,"Viale Giacomo Puccini - Giacomo-Puccini-Allee, 39100, Bolzano - Bozen",46.492958,11.313155,,109
Bar Tom,cafe,"Viale Giacomo Puccini - Giacomo-Puccini-Allee, 30, 39100, Bolzano - Bozen",46.492602,11.313413,,149
Drinking_water,drinking_water,Adresse unbekannt,46.493475,11.310826,,9
Bike Wellness,bicycle,Adresse unbekannt,46.492868,11.313200,,119
Aldi,supermarket,39100,46.494258,11.314441,,15
Drinking_water,drinking_water,Adresse unbekannt,46.491683,11.312305,,246
