Name,Typ,Adresse,Latitude,Longitude
Buga Ramen,restaurant,"Viale Druso - Drususallee, 91, 39100, Bolzano - Bozen",46.4951287,11.3358468
Cafe,cafe,Adresse unbekannt,46.497671,11.3402677
Cafe,cafe,Adresse unbekannt,46.4961956,11.3403338
Drinking_water,drinking_water,Adresse unbekannt,46.495372,11.339875
Drinking_water,drinking_water,Adresse unbekannt,46.497798,11.339242
Drinking_water,drinking_water,Adresse unbekannt,46.4965269,11.3405105
Pizzeria da Gigi,restaurant,Adresse unbekannt,46.4937776,11.3413477
Ban Thai,restaurant,Adresse unbekannt,46.4913257,11.3395109
Cafè Petit Château,cafe,Adresse unbekannt,46.4968163,11.3399033
Drinking_water,drinking_water,Adresse unbekannt,46.4926313,11.3183076
Drinking_water,drinking_water,Adresse unbekannt,46.4923951,11.3173959
Drinking_water,drinking_water,Adresse unbekannt,46.492492,11.3115605
Poli,supermarket,Adresse unbekannt,46.4915902,11.3148026
Pizzeria Metro',restaurant,"Viale Druso - Drususallee, 339, 39100",46.4941809,11.3186296
Pizzeria Lo Zodiaco,restaurant,Adresse unbekannt,46.4943176,11.3103225
Drinking_water,drinking_water,Adresse unbekannt,46.4926611,11.3173448
Futuro Bio,supermarket,"Viale Giacomo Puccini - Giacomo-Puccini-Allee, 39100, Bolzano - Bozen",46.492958,11.3131554
Bar Tom,cafe,"Viale Giacomo Puccini - Giacomo-Puccini-Allee, 30, 39100, Bolzano - Bozen",46.4926019,11.3134131
Drinking_water,drinking_water,Adresse unbekannt,46.4934747,11.310826
Café Muma's,cafe,"Piazza Nikolaus Firmian - Nikolaus-Firmian-Platz, 2, 39100, Bolzano - Bozen",46.490979,11.3146486
Bike Wellness,bicycle,Adresse unbekannt,46.4928676,11.3132002
Aldi,supermarket,39100,46.4942581,11.3144414
Drinking_water,drinking_water,Adresse unbekannt,46.4916832,11.312305
Tankstelle - Bar - Distributore,cafe,"Via Castel Firmiano - Sigmundskroner Straße, 9, 39100, Bolzano - Bozen",46.4915148,11.30693
Mendelhof,restaurant,"Via Castel Firmiano, 22, 39100, Bolzano - Bozen",46.4854945,11.2997648
Bike Cafe,cafe,Adresse unbekannt,46.4858012,11.3036409
Bar Krone,cafe,"Via Castel Firmiano - Sigmundskroner Straße, 33, 39100, Bolzano - Bozen",46.485408,11.3000896
Drinking_water,drinking_water,Adresse unbekannt,46.5087305,11.2645238
Pizzeria Holzmann,restaurant,Adresse unbekannt,46.5119529,11.2655519
Drinking_water,drinking_water,Adresse unbekannt,46.508997,11.269199
