Name,Typ,Adresse,Latitude,Longitude
La Favorita,restaurant,"32, 53100, Siena",43.3219102,11.3286283
Bruscello Bistrò,restaurant,"Via della Stufa Secca, 1, 53100, Siena",43.3221543,11.3298278
Vineria al Canape,restaurant,"Piazza Indipendenza, 1, 53100, Siena",43.3193298,11.3302872
Enoteca I Terzi,restaurant,"Via dei Termini, 7, 53100, Siena",43.3194121,11.3307782
Drinking_water,drinking_water,Adresse unbekannt,43.319293,11.3303387
Ristorante Campo Cedro,restaurant,"Via Pian d'Ovile, 54, 53100, Siena",43.3222149,11.3305982
Drinking_water,drinking_water,Adresse unbekannt,43.3231561,11.3307162
Drinking_water,drinking_water,Adresse unbekannt,43.3221198,11.3346502
Conad City,supermarket,"Via di Città, 99, 53100, Siena",43.316948,11.3306711
Ristorante Pizzeria Calra e Franca,restaurant,"Via di Pantaneto, 138, 53100, Siena",43.3171923,11.3365538
Tuscan Wine School,restaurant,"Via Stalloreggi, 26, 53100, Siena",43.3158169,11.3294775
A un Passo da,restaurant,"Via San Pietro, 84, 53100, Siena",43.3149361,11.3304751
Drinking_water,drinking_water,Adresse unbekannt,43.3173861,11.3272229
TAZ,restaurant,"25, 53100, Siena",43.32133,11.3284057
Pino alle Fonti,restaurant,"Via di Fontebranda, 79, 53100, Siena",43.3189318,11.3272707
Bar Siena,cafe,"Via Malavolti, 4, 53100, Siena",43.3220769,11.3287416
Penny,supermarket,"17, 53100, Siena",43.3208525,11.3288272
Bar Pasticceria Nannini Posta,cafe,"28, 53100, Siena",43.3213782,11.3283544
Ristorante San Desiderio,restaurant,"2, 53100, Siena",43.3180502,11.3301769
Ristorante Osteria Bonelli,restaurant,"3;5, 53100, Siena",43.3179645,11.3301535
Ristorante Pier Pettinaio,restaurant,"Vicolo Beato Pier Pettinaio, 7, 53100, Siena",43.3195837,11.3311183
Caffe' Fiaschetteria Il Pulcino,restaurant,"Via dei Termini, 91, 53100, Siena",43.3211575,11.329713
Bar San Domenico,cafe,"1, 53100, Siena",43.3205588,11.3270701
NaturHouse Siena Centro,supermarket,"Via Vallerozzi, 18, 53100, Siena",43.3218903,11.3305477
Filuse',restaurant,"Via Vallerozzi, 53100, Siena",43.3221401,11.3308297
Trefilari,restaurant,"Via di Pantaneto, 32, 53100, Siena",43.3184615,11.3343013
HostariadiPantaneto55,restaurant,"Via di Pantaneto, 55, 53100, Siena",43.3183914,11.3347157
Bottega Roots Siena,restaurant,"Via di Pantaneto, 58, 53100, Siena",43.3182099,11.3347734
Meet Life Cafè,cafe,"Via di Pantaneto, 90, 53100, Siena",43.3177796,11.3354483
The Biryani House,restaurant,"Via di Pantaneto, 110, 53100, Siena",43.317515,11.3358918
Coco Sushi,restaurant,"Via di Pantaneto, 107, 53100, Siena",43.3176175,11.3361058
Ristorante Tar-Tufo,restaurant,"Via del Sole, 6, 53100, Siena",43.3163682,11.3347929
Tuscany Food Experience,restaurant,"Vicolo della Manna, 1, 53100, Siena",43.317984,11.3330396
Bar Porrione B&B,cafe,"Via del Porrione, 14, 53100, Siena",43.3185047,11.3327316
Restaurant,restaurant,"Via Rinaldini, 12, 53100, Siena",43.3188685,11.3325026
Un Tubo,cafe,"Vicolo del Luparello, 2, 53100, Siena",43.3180784,11.3334908
Non Solo Bar,restaurant,"Via del Porrione, 58, 53100, Siena",43.318224,11.3335779
Restaurant,restaurant,"Via del Porrione, 64, 53100, Siena",43.3181583,11.3336929
Il Ristoro del Papa,restaurant,"Logge del Papa, 1, 53100, Siena",43.3184616,11.3338246
Osteria Pizzeria Sotto le Logge del Papa,restaurant,"Logge del Papa, 1, 53100, Siena",43.3185567,11.3337557
Giulia La Torre Restaurant,restaurant,"Via delle Terme, 5, 53100, Siena",43.3188578,11.3305474
Caffè Independenza,cafe,"9, 53100, Siena",43.318928,11.3304279
Caffetteria Diacceto,restaurant,"Via di Diacceto, 14, 53100, Siena",43.3189776,11.3299415
Du' Cose da Berna,restaurant,"Via di Diacceto, 9;11, 53100, Siena",43.3188168,11.3299213
CiacciaCucina,restaurant,"Via delle Terme, 18, 53100, Siena",43.3193858,11.3302795
Ristorante Il Tufo,restaurant,"15, 53100, Siena",43.3181378,11.3310191
Ristorante Pizzeria Il Mulino,restaurant,"15, 53100, Siena",43.3180394,11.3310828
Le Campane,restaurant,"Via delle Campane, 6, 53100, Siena",43.3178818,11.3304889
ChigianArtCafè,cafe,"Via di Città, 89, 53100, Siena",43.3172163,11.3308923
