Name,Typ,Adresse,Latitude,Longitude
Antica Trattoria L'Aquila,restaurant,"Casato di Sotto, 58, 53100, Siena",43.3169492,11.331261
Bar a Onda,cafe,"Via Giovanni Duprè, 53, 53100, Siena",43.3163933,11.3320034
Mensa dell'Università degli Studi di Siena,restaurant,"Via Sallustio Bandini, 53100, Siena",43.31932,11.3340308
SchiacciaMangia,restaurant,"Via delle Donzelle, 1, 53100, Siena",43.3193207,11.3322282
Restaurant,restaurant,"Via di Calzoleria, 16, 53100, Siena",43.3195296,11.3318276
Osteria Di Nonna Gina,restaurant,"Pian dei Mantellini, 2, 53100, Siena",43.3153206,11.3275695
Il Biondo,restaurant,"Vicolo del Rustichetto, 10, 53100, Siena",43.3215273,11.3297299
Bar Ristorante Rustichetto,restaurant,"Via Della Sapienza, 45, 53100, Siena",43.3203624,11.327386
Ristorante Vivace,restaurant,"Via Stalloreggi, 62, 53100, Siena",43.3153764,11.3282779
Panificio Il Magnifico,bakery,"Via dei Pellegrini, 27, 53100, Siena",43.3182773,11.3298148
Caffetteria Il Magnifico,cafe,"Piazza San Giovanni, 1, 53100, Siena",43.3182696,11.3296388
Il Battistero Bistrot,cafe,"Piazza San Giovanni, 2, 53100, Siena",43.3182368,11.3295883
Ristorante Mugolone,restaurant,"Via dei Pellegrini, 8;12, 53100, Siena",43.3183918,11.3301999
Il Masgalano,restaurant,"Via del Camporegio, 1, 53100, Siena",43.3203277,11.3272798
La Taverna Del Capitano,restaurant,"Via del Capitano, 6;8, 53100, Siena",43.3165183,11.32974
Quarto Bistrot,restaurant,"Vicolo del Campaccio, 2, 53100, Siena",43.3201043,11.3286217
Bar Nannini Conca d'Oro,cafe,"Banchi di Sopra, 24, 53100, Siena",43.3195871,11.3314298
Zest Ristorante e Wine Bar,restaurant,"Costa Sant' Antonio, 13, 53100, Siena",43.320147,11.3289384
Osteria Il Grattacielo,restaurant,"Via dei Pontani, 8, 53100, Siena",43.3202749,11.3307212
Ristorante Vitti,restaurant,"Via dei Montanini, 16, 53100, Siena",43.3213795,11.3303128
Osteria Da Trombicche,restaurant,"Via delle Terme, 66, 53100, Siena",43.320328,11.3302615
Trattoria La Tellina,restaurant,"Via delle Terme, 52, 53100, Siena",43.3201195,11.3303381
Osteria Il Ghibellino,restaurant,"Via dei Pellegrini, 26, 53100, Siena",43.3183526,11.3297183
Il Kroeg,cafe,"Via Vallerozzi, 53100, Siena",43.3225863,11.3309433
Drinking_water,drinking_water,Adresse unbekannt,43.3197774,11.3291259
Osteria di Castelvecchio,restaurant,"Via Castelvecchio, 65, 53100, Siena",43.3153963,11.3303038
Osteria del Gusto,restaurant,"Via dei Fusari, 9, 53100, Siena",43.3177804,11.3283715
Osteria da Divo,restaurant,"Via Franciosa, 25;29, 53100, Siena",43.3180084,11.3281403
Ristorante Il Duomo,restaurant,"Via dei Fusari, 19, 53100, Siena",43.3175086,11.3281828
L'Osteria dei Rossi,restaurant,"Via dei Rossi, 79;81, 53100, Siena",43.3217486,11.3321915
Antico Tagliere,cafe,Adresse unbekannt,43.3166128,11.3305517
Chianti & Pizza,restaurant,"Via delle Terme, 94, 53100, Siena",43.3207976,11.3298149
La Piccola Ciaccineria,restaurant,"Via San Pietro, 52, 53100, Siena",43.3154403,11.3304411
Pizzeria di Nonno Mede,restaurant,"Via Camporegio, 21, 53100, Siena",43.3201907,11.3284831
Il Pomodorino,restaurant,"Via del Camporegio, 13, 53100, Siena",43.3201956,11.3279748
La Vecchia Taverna di Bacco,restaurant,"Via di Beccheria, 11, 53100, Siena",43.3187057,11.3302469
Archivo del Gusto,restaurant,"Via di Monna Agnese, 8, 53100, Siena",43.3180006,11.3299127
Prètto Prosciutteria e Convivio,restaurant,"Via dei Termini, 4, 53100, Siena",43.3191909,11.3307887
Consorzio Agrario di Siena,supermarket,"Via Giuseppe Pianigiani, 5, 53100, Siena",43.3212108,11.3299305
Menchetti,bakery,"Via Pianigiani, 5, 53100, Siena",43.3211739,11.3300525
Osteria La Chiacchera,restaurant,"Costa Sant'Antonio, 4, 53100, Siena",43.32012,11.3287944
Bistrot 166,restaurant,"Via San Pietro, 68, 53100, Siena",43.3153984,11.3304331
Gusti Continentali,cafe,"Via dei Rossi, 107, 53100, Siena",43.3219076,11.3325922
Morbidi,cafe,"Banchi di Sopra, 75, 53100, Siena",43.3207619,11.3306937
Il Cavaliere Errante,restaurant,"Piazza Provenzano, 3, 53100, Siena",43.3204834,11.3322338
Osteria Cice,restaurant,"Via San Pietro, 32, 53100, Siena",43.3158742,11.3301432
Du' Versi,restaurant,"Via dei Rossi, 82, 53100, Siena",43.3217955,11.33267
Caffetteria del Santa Maria Della Scala,cafe,"53100, Siena",43.3169147,11.3287961
La Casa del Caffè,cafe,"Via di Diacceto, 18;20, 53100, Siena",43.3189039,11.3298391
Pizzeria 4 Cantoni,restaurant,"5, 53100, Siena",43.3161648,11.3298054
Osteria Permalico,restaurant,"Costa Larga, 4, 53100, Siena",43.3163738,11.330035
Drinking_water,drinking_water,Adresse unbekannt,43.3147375,11.3309188
Quattro Cantoni,cafe,"Via di Città, 134;137, 53100, Siena",43.3163096,11.3299902
Osteria degli Svitati,restaurant,"Via della Galluzza, 34, 53100, Siena",43.3196574,11.3292805
Ai Fusari Bistrot,restaurant,"Via dei Fusari, 26, 53100, Siena",43.3180341,11.3284367
Il Cavallino Bianco,restaurant,"Via di Città, 20, 53100, Siena",43.318986,11.3309818
Nuovo Caffè Greco,cafe,"Via di Città, 24, 53100, Siena",43.3189322,11.3308892
Caffetteria Torrefazione Fiorella,cafe,"Via di Città, 13, 53100, Siena",43.3187874,11.3308776
Tre Cristi Enoteca Ristorante,restaurant,"Vicolo di Provenzano, 1, 53100, Siena",43.3215408,11.3327301
Caffè La Piazzetta,cafe,"Via dei Montanini, 52, 53100, Siena",43.3218083,11.3297477
Caffè del Corso,cafe,"Banchi di Sopra, 25, 53100, Siena",43.319601,11.3312384
Pizzeria Alle Scalette,restaurant,"Viale Curtatone, 18, 53100, Siena",43.321424,11.3282757
La Locanda dei Tintori,restaurant,"Via dei Pittori, 13, 53100, Siena",43.320151,11.3296833
In Carrozza,restaurant,"Vicolo delle Carrozze, 1, 53100, Siena",43.3183909,11.328569
Osteria Quattro Venti,restaurant,"Via San Pietro, 68, 53100, Siena",43.315194,11.3303645
San Domenico,restaurant,"Via del Camporegio, 17, 53100, Siena",43.3201972,11.3283059
Boccon del Prete,restaurant,"Via San Pietro, 17, 53100, Siena",43.315941,11.3302378
Compagnia dei Vinattieri,restaurant,"Via delle Terme, 79, 53100, Siena",43.3202605,11.3301366
Osteria Le Sorelline,restaurant,"Via dei Rossi, 76, 53100, Siena",43.3217357,11.3324382
Tigella Emilia,restaurant,"Via dei Rossi, 65, 53100, Siena",43.3215488,11.3318893
Il Sasso,restaurant,"Via dei Rossi, 2, 53100, Siena",43.3207058,11.3312109
Forno Sclavi,bakery,"53100, Siena",43.3163477,11.3300139
Trattoria I Barberi,restaurant,"Via di Stalloreggi, 10, 53100, Siena",43.3159937,11.329567
Trattoria Stalloreggi,restaurant,"Via di Stalloreggi, 37, 53100, Siena",43.3155142,11.3293087
Piripi Pizza Urban Food,restaurant,"Via dei Rossi, 69, 53100, Siena",43.3216309,11.3320023
Conad City,supermarket,"Viale Curtatone, 16, 53100, Siena",43.32136,11.3282138
La Favorita,restaurant,"32, 53100, Siena",43.3219102,11.3286283
Bruscello Bistrò,restaurant,"Via della Stufa Secca, 1, 53100, Siena",43.3221543,11.3298278
Vineria al Canape,restaurant,"Piazza Indipendenza, 1, 53100, Siena",43.3193298,11.3302872
Enoteca I Terzi,restaurant,"Via dei Termini, 7, 53100, Siena",43.3194121,11.3307782
Drinking_water,drinking_water,Adresse unbekannt,43.319293,11.3303387
Ristorante Campo Cedro,restaurant,"Via Pian d'Ovile, 54, 53100, Siena",43.3222149,11.3305982
Drinking_water,drinking_water,Adresse unbekannt,43.3231561,11.3307162
Drinking_water,drinking_water,Adresse unbekannt,43.3221198,11.3346502
Tuscan Wine School,restaurant,"Via Stalloreggi, 26, 53100, Siena",43.3158169,11.3294775
A un Passo da,restaurant,"Via San Pietro, 84, 53100, Siena",43.3149361,11.3304751
Drinking_water,drinking_water,Adresse unbekannt,43.3173861,11.3272229
TAZ,restaurant,"25, 53100, Siena",43.32133,11.3284057
Pino alle Fonti,restaurant,"Via di Fontebranda, 79, 53100, Siena",43.3189318,11.3272707
Bar Siena,cafe,"Via Malavolti, 4, 53100, Siena",43.3220769,11.3287416
Penny,supermarket,"17, 53100, Siena",43.3208525,11.3288272
Bar Pasticceria Nannini Posta,cafe,"28, 53100, Siena",43.3213782,11.3283544
Ristorante San Desiderio,restaurant,"2, 53100, Siena",43.3180502,11.3301769
Ristorante Osteria Bonelli,restaurant,"3;5, 53100, Siena",43.3179645,11.3301535
Ristorante Pier Pettinaio,restaurant,"Vicolo Beato Pier Pettinaio, 7, 53100, Siena",43.3195837,11.3311183
Caffe' Fiaschetteria Il Pulcino,restaurant,"Via dei Termini, 91, 53100, Siena",43.3211575,11.329713
Bar San Domenico,cafe,"1, 53100, Siena",43.3205588,11.3270701
NaturHouse Siena Centro,supermarket,"Via Vallerozzi, 18, 53100, Siena",43.3218903,11.3305477
Filuse',restaurant,"Via Vallerozzi, 53100, Siena",43.3221401,11.3308297
Giulia La Torre Restaurant,restaurant,"Via delle Terme, 5, 53100, Siena",43.3188578,11.3305474
Caffè Independenza,cafe,"9, 53100, Siena",43.318928,11.3304279
Caffetteria Diacceto,restaurant,"Via di Diacceto, 14, 53100, Siena",43.3189776,11.3299415
Du' Cose da Berna,restaurant,"Via di Diacceto, 9;11, 53100, Siena",43.3188168,11.3299213
CiacciaCucina,restaurant,"Via delle Terme, 18, 53100, Siena",43.3193858,11.3302795
Le Campane,restaurant,"Via delle Campane, 6, 53100, Siena",43.3178818,11.3304889
Ristorante Numero Unico,restaurant,"Via di Città, 125, 53100, Siena",43.3164745,11.3301552
Bar Pinacoteca,cafe,"Via San Pietro, 38, 53100, Siena",43.3155863,11.3303842
Sira e Remino - L'Osteria a Siena,restaurant,"Via San Pietro, 48, 53100, Siena",43.3154918,11.330438
Bar TERMINI,cafe,"Via dei Termini, 43, 53100, Siena",43.3201754,11.3306245
Ristorante I Maestri,restaurant,"Via Tito Sarrocchi, 2, 53100, Siena",43.3148751,11.3305034
Bar Osteria Enea,restaurant,"Via delle Cerchia, 2, 53100, Siena",43.3147205,11.33061
Bar Sant'Agata Coffee Break,cafe,"Via Sant'Agata, 36, 53100, Siena",43.3148135,11.330817
Osteria Pizzeria La Grotta Di S. Agostino,restaurant,"12, 53100, Siena",43.314634,11.3307052
Pizzeria Il Prato,restaurant,"13, 53100, Siena",43.3145921,11.3307638
Òsteria Il Cancellino,restaurant,"Via dei Fusari, 10;16, 53100, Siena",43.3181221,11.328666
Trattoria Dino,restaurant,"Casato di Sopra, 71, 53100, Siena",43.3151182,11.3307182
Ristorante Shanghai,restaurant,"Via della Galluzza, 10, 53100, Siena",43.3192713,11.3296107
Grotta Santa Caterina da Bagoga,restaurant,"Via della Galluzza, 26, 53100, Siena",43.3193216,11.329567
