Latitude,Longitude,Street,City,Surface,Tracktype,Highway,Smoothness,OSM_Way_ID
43.062608,10.694416,Unbekannte Straße,Suvereto,unknown,,,,
43.061545,10.696102,Unbekannte Straße,Suvereto,unknown,,,,
43.061212,10.696284,Unbekannte Straße,Suvereto,unknown,,,,
43.060686,10.696082,Unbekannte Straße,Suvereto,unknown,,,,
43.060553,10.695857,Unbekannte Straße,Suvereto,unknown,,,,
43.060753,10.692638,Unbekannte Straße,Suvereto,unknown,,,,
43.056692,10.691517,Via dei Forni,Suvereto,unknown,,,,
43.056320,10.693228,Via dei Forni,Suvereto,unknown,,,,
43.051356,10.700871,Via dei Forni,Suvereto,unknown,,,,
43.051086,10.702340,Via dei Forni,Suvereto,unknown,,,,
43.050716,10.702630,Via dei Forni,Suvereto,unknown,,,,
43.050306,10.704073,Via dei Forni,Suvereto,unknown,,,,
43.050345,10.705742,Via dei Forni,Suvereto,unknown,,,,
43.050023,10.707052,Via dei Forni,Suvereto,unknown,,,,
43.050216,10.707440,Via dei Forni,Suvereto,unknown,,,,
43.050653,10.707610,Via dei Forni,Suvereto,unknown,,,,
43.050617,10.707964,Via dei Forni,Suvereto,unknown,,,,
43.047071,10.709393,Via dei Forni,Suvereto,unknown,,,,
43.045956,10.710335,Via dei Forni,Suvereto,unknown,,,,
43.044047,10.709278,Via dei Forni,Suvereto,unknown,,,,
43.040158,10.707600,Strada Provinciale 22b San Lorenzo - Banditelle,Suvereto,unknown,,,,
43.041070,10.703758,Strada Provinciale 22b San Lorenzo - Banditelle,Suvereto,unknown,,,,
43.040873,10.700735,Unbekannte Straße,Suvereto,unknown,,,,
43.042415,10.700464,Unbekannte Straße,Suvereto,unknown,,,,
43.042112,10.698607,Unbekannte Straße,Suvereto,unknown,,,,
43.041007,10.698372,Unbekannte Straße,Suvereto,unknown,,,,
43.041046,10.697766,Unbekannte Straße,Suvereto,unknown,,,,
43.024962,10.682802,Via di Casalappi,Follonica,unknown,,,,
43.023355,10.685858,Via di Casalappi,Follonica,unknown,,,,
43.022730,10.685327,Via di Casalappi,Follonica,unknown,,,,
43.023161,10.683315,Via di Casalappi,Follonica,unknown,,,,
43.024747,10.680112,Via di Casalappi,Follonica,unknown,,,,
43.024000,10.675798,Via di Casalappi,Campiglia Marittima,unknown,,,,
43.023754,10.675375,Via di Casalappi,Campiglia Marittima,unknown,,,,
43.019052,10.675005,Via di Casalappi,Campiglia Marittima,unknown,,,,
43.019214,10.675847,Via di Casalappi,Campiglia Marittima,unknown,,,,
43.019118,10.675959,Via di Casalappi,Campiglia Marittima,unknown,,,,
42.995913,10.664411,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.995438,10.664739,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.995004,10.665404,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.992794,10.671755,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.992579,10.671863,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.991733,10.671736,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.991485,10.671915,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.989693,10.678070,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.989335,10.678843,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.989066,10.679028,Strada Provinciale 21 Cafaggio - Riotorto,Piombino,unknown,,,,
42.982580,10.680608,Via della Bonifica,Piombino,unknown,,,,
42.979766,10.683702,Via della Bonifica,Piombino,unknown,,,,
42.979859,10.683833,Via della Bonifica,Piombino,unknown,,,,
42.979641,10.684118,Via della Bonifica,Piombino,unknown,,,,
42.978958,10.684517,Via Valnera,Piombino,unknown,,,,
42.978295,10.686476,Via Valnera,Piombino,unknown,,,,
42.977286,10.686164,Via Valnera,Piombino,unknown,,,,
42.976673,10.686278,Via Valnera,Piombino,unknown,,,,
42.974749,10.687384,Via Rosanna Benzi,Piombino,unknown,,,,
42.974121,10.688351,Via Rosanna Benzi,Piombino,unknown,,,,
42.971538,10.688213,Via Rosanna Benzi,Piombino,unknown,,,,
42.970529,10.687887,Via Rosanna Benzi,Piombino,unknown,,,,
42.969852,10.687485,Unbekannte Straße,Piombino,unknown,,,,
42.967849,10.685310,Unbekannte Straße,Piombino,unknown,,,,
42.967338,10.683721,Unbekannte Straße,Piombino,unknown,,,,
42.967218,10.668776,Unbekannte Straße,Piombino,unknown,,,,
42.967930,10.667593,Unbekannte Straße,Piombino,unknown,,,,
42.967529,10.667071,Unbekannte Straße,Piombino,unknown,,,,
42.967217,10.667491,Unbekannte Straße,Piombino,unknown,,,,
42.958661,10.666947,Strada Comunale 8 del Mortelliccio,Piombino,unknown,,,,
42.956824,10.680854,Strada Comunale 9 di Carbonifera,Piombino,unknown,,,,
42.955189,10.681547,Strada Comunale 9 di Carbonifera,Piombino,unknown,,,,
42.954965,10.682002,Strada Comunale 9 di Carbonifera,Piombino,unknown,,,,
42.951812,10.683197,Strada Comunale 10 di Torre Mozza,Piombino,unknown,,,,
42.950020,10.684232,Strada Comunale 10 di Torre Mozza,Piombino,unknown,,,,
42.947522,10.689821,Strada Comunale 10 di Torre Mozza,Piombino,unknown,,,,
42.946950,10.691890,Strada Comunale 10 di Torre Mozza,Piombino,unknown,,,,
42.946543,10.696143,Unbekannte Straße,Piombino,unknown,,,,
42.944675,10.701360,Unbekannte Straße,Piombino,unknown,,,,
42.943007,10.704931,Unbekannte Straße,Piombino,unknown,,,,
42.942014,10.710885,Unbekannte Straße,Piombino,unknown,,,,
42.941649,10.712185,Viale Italia,Follonica,unknown,,,,
42.939068,10.716283,Viale Italia,Follonica,unknown,,,,
42.937506,10.720087,Viale Italia,Follonica,unknown,,,,
42.935437,10.724113,Viale Italia,Follonica,unknown,,,,
42.934043,10.725807,Viale Italia,Follonica,unknown,,,,
42.933467,10.726798,Viale Italia,Follonica,unknown,,,,
42.929618,10.738244,Viale Italia,Follonica,unknown,,,,
42.926963,10.745073,Viale Italia,Follonica,unknown,,,,
42.922395,10.753713,Piazzetta Tre Palme,Follonica,unknown,,,,
42.919105,10.759192,Viale Giosuè Carducci,Follonica,unknown,,,,
42.919109,10.759828,Viale Giosuè Carducci,Follonica,unknown,,,,
42.918905,10.760142,Viale Giosuè Carducci,Follonica,unknown,,,,
42.919164,10.761146,Viale Giosuè Carducci,Follonica,unknown,,,,
42.918621,10.761721,Viale Giosuè Carducci,Follonica,unknown,,,,
42.915168,10.768377,Via delle Collacchie,Follonica,unknown,,,,
42.913930,10.769997,Via delle Collacchie,Follonica,unknown,,,,
42.910997,10.773275,Via delle Collacchie,Scarlino,unknown,,,,
42.911050,10.773382,Via delle Collacchie,Scarlino,unknown,,,,
42.905020,10.780090,Via delle Collacchie,Scarlino,unknown,,,,
42.903165,10.781661,Via delle Collacchie,Scarlino,unknown,,,,
42.898538,10.784612,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.898530,10.784993,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.897358,10.785819,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.897025,10.785591,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.895752,10.786373,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.893975,10.786663,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.892335,10.787327,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.891467,10.788447,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.890640,10.790015,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.890555,10.789951,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.889299,10.791689,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.888972,10.791333,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.888079,10.788022,Via delle Collacchie,Puntone di Scarlino,unknown,,,,
42.883406,10.783758,Lungomare Giuseppe Garibaldi,Puntone di Scarlino,unknown,,,,
42.883146,10.783291,Lungomare Giuseppe Garibaldi,Puntone di Scarlino,unknown,,,,
42.882891,10.781489,Lungomare Giuseppe Garibaldi,Puntone di Scarlino,unknown,,,,
42.882246,10.780859,Lungomare Giuseppe Garibaldi,Puntone di Scarlino,unknown,,,,
42.881414,10.780584,Lungomare Giuseppe Garibaldi,Puntone di Scarlino,unknown,,,,
42.880548,10.779846,Lungomare Giuseppe Garibaldi,Puntone di Scarlino,unknown,,,,
42.879993,10.779223,Unbekannte Straße,Puntone di Scarlino,unknown,,,,
42.879353,10.778053,Unbekannte Straße,Puntone di Scarlino,unknown,,,,
42.878393,10.778295,Unbekannte Straße,Puntone di Scarlino,unknown,,,,
42.877886,10.778230,Unbekannte Straße,Puntone di Scarlino,unknown,,,,
42.877475,10.777704,Unbekannte Straße,Puntone di Scarlino,unknown,,,,
42.877001,10.777436,Unbekannte Straße,Puntone di Scarlino,unknown,,,,
42.875748,10.777497,Unbekannte Straße,Puntone di Scarlino,unknown,,,,
42.874999,10.777873,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.874428,10.777902,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
42.874989,10.776738,Antica strada vicinale della Dogana detta dei Cavalleggeri,Scarlino,unknown,,,,
